word,log_peace_value,log_nonpeace_value,real_peace_value,real_nonpeace_value,log_ratio,real_ratio
nse,-99.0,-8.253307947364789,0.0,0.0002603957555836159,11.995190368682398,0.0
club,-99.0,-8.24696001512309,0.0,0.00026205398780059023,12.004423426141999,0.0
soon,-99.0,-8.229504794029916,0.0,0.0002666683533212114,12.02988545213795,0.0
ever,-99.0,-8.220838210443604,0.0,0.00026898950057507376,12.042567614848835,0.0
defense,-99.0,-8.15705147077955,0.0,0.00028670651226245166,12.13673842253429,0.0
country,-6.693534893024098,-5.5933718517927,0.0012388956599160208,0.003722455112926552,1.1966904883820286,0.3328168164107196
equal,-6.750881465072145,-7.414940262767336,0.0011698479860435557,0.0006021883650961093,0.9104431358631934,1.9426612233812388
proceeding,-99.0,-8.093555373051135,0.0,0.0003055016516295692,12.231954368241833,0.0
world,-7.419367583649447,-6.876322400781884,0.0005995281770705848,0.0010319321081306788,1.078973199803112,0.5809763765918827
natural,-8.873473798093134,-99.0,0.00014005521810321947,0.0,0.08963104846558721,inf
resolution,-8.882534937563518,-99.0,0.00013879189047604612,0.0,0.08972257512690422,inf
twice,-8.580570856222609,-99.0,0.00018771778694732103,0.0,0.08667243289113746,inf
really,-8.56430068485802,-8.55244954862989,0.0001907969689928417,0.0001930715816140354,1.0013857008054527,0.9882188118925713
client,-8.527177439267264,-99.0,0.00019801308585689443,0.0,0.08613310544714409,inf
recovery,-8.052917907473498,-8.416062590663348,0.00031817216972272294,0.00022128422635215764,0.9568510001823517,1.4378438760310697
regulation,-8.474738622007644,-8.230806034317261,0.00020867373088838216,0.00026632157938354974,1.0296365370139131,0.7835404527541323
vol,-8.0677106991477,-99.0,0.00031350015635615706,0.0,0.08149202726411818,inf
retain,-8.06821822121672,-99.0,0.00031334108847680945,0.0,0.08149715374966383,inf
distribution,-8.466235433517918,-99.0,0.00021045568837828248,0.0,0.08551752963149412,inf
retail,-8.462010599741923,-99.0,0.000211346709561753,0.0,0.08547485454284771,inf
demand,-8.457946360698482,-7.356394267102568,0.00021220742099418906,0.0006384965619352043,1.1497407634229178,0.3323548373557636
design,-8.100142230517518,-8.538118404916883,0.00030349596862025094,0.0001958584399332771,0.9487034316428377,1.5495679875916637
try,-8.381874930188726,-7.6896163972784395,0.0002289802208009139,0.0004575536569026644,1.0900251062140494,0.500444521306984
much,-8.196719966853012,-7.612198884005338,0.00027555592184861765,0.0004943835702809605,1.0767874160613253,0.5573727332646146
extensive,-8.358531981325994,-99.0,0.0002343881675371233,0.0,0.08442961597298984,inf
ep,-8.240089581460857,-99.0,0.00026386061137693723,0.0,0.08323322809556422,inf
method,-8.297094627176632,-99.0,0.0002492399110491564,0.0,0.0838090366381478,inf
control,-7.961656753291567,-7.714479367958343,0.00034857513580192613,0.00044631777129265626,1.0320407085875247,0.7810021429179457
republic,-8.605775175687066,-8.490558051158736,0.00018304561467077208,0.00020539860519723174,1.0135700296534227,0.8911726274626088
publication,-99.0,-8.40291870855085,0.0,0.00022421195887236973,11.781620581341235,0.0
comment,-7.928183147218453,-99.0,0.0003604406860545739,0.0,0.08008265805271164,inf
rating,-7.493674647349742,-99.0,0.0005565939116768563,0.0,0.07569368330656305,inf
late,-7.519662979731639,-7.444016204596457,0.0005423153063003261,0.0005849312701272856,1.0101620916795524,0.9271436389138745
feature,-8.860090632018167,-99.0,0.00014194219907206018,0.0,0.08949586496988048,inf
land,-8.848929837974152,-7.27847540051207,0.00014353526009868654,0.0006902370970301995,1.2157669499510289,0.20795066031115758
analyst,-8.818396584849845,-99.0,0.0001479854522188863,0.0,0.08907471297828126,inf
home,-7.734606967261639,-7.258941727812252,0.0004374242687012273,0.0007038525091438863,1.065528179903539,0.6214714915675694
approach,-8.717730391171461,-8.387474704203797,0.00016365820984656142,0.00022770156673868131,1.0393748653336792,0.7187399375006567
bank,-7.762319916758674,-7.43701288573424,0.00042546838362793923,0.0005890421082778183,1.043741625303412,0.7223055493806387
favorably,-8.71007906289574,-99.0,0.00016491521528335352,0.0,0.08798059659490647,inf
shall,-8.698633717600348,-8.399085303398428,0.00016681356980521904,0.00022507310365462528,1.0356644090852034,0.7411528392179392
know,-7.763165504018287,-6.877711036137651,0.0004251087650492473,0.0010305001252017487,1.128742609747368,0.41252665055816523
next,-7.789422995608043,-7.348135403699876,0.000414091747816556,0.0006437916534444254,1.0600543631362553,0.6432076986414395
authority,-8.659740063731943,-7.584270769422755,0.00017342938163120625,0.000508385383316732,1.1418025973762858,0.341137623784036
produce,-7.863897137182699,-7.600025093728729,0.0003843729944213496,0.0005004388754056624,1.0347198910792685,0.7680718131855199
purchase,-7.917477360393152,-99.0,0.0003643202168636187,0.0,0.07997451879185001,inf
progress,-99.0,-8.389538181612489,0.0,0.0002272321941362197,11.800411161722845,0.0
negative,-7.451190889361778,-8.2798543569326,0.0005807495917050041,0.0002535741286593775,0.8999181106516695,2.2902556927844824
pandemic,-99.0,-8.476919724495911,0.0,0.00020821908808621486,11.67877049890161,0.0
arrive,-99.0,-8.54241457820809,0.0,0.0001950188030390165,11.589229145182374,0.0
understand,-99.0,-8.486598632154946,0.0,0.0002062134764818656,11.66545094107527,0.0
out,-5.538408226739269,-5.817941885394702,0.003932781955778013,0.0029737191057301964,0.9519531710419502,1.322512926052684
mitte,-99.0,-8.426963397647608,0.0,0.00021888514940572923,11.748004035194446,0.0
airport,-99.0,-8.435641983922771,0.0,0.00021699375493859172,11.735917691703968,0.0
bullish,-5.706754973008153,-6.882178418717419,0.00332343971715717,0.001025906754704993,0.829207647027506,3.2395144119241612
stock,-4.527271746521043,-5.626615875004575,0.010810128648521359,0.0036007400867187505,0.8046171707993772,3.002196323026557
growth,-5.823282644141068,-6.693132144637936,0.0029578795247476412,0.001239394723635483,0.8700384989120932,2.3865516516573297
provincial,-99.0,-8.409063535829826,0.0,0.00022283843945289597,11.773011296463043,0.0
text,-99.0,-8.548674436043768,0.0,0.0001938018260820954,11.580742808801606,0.0
past,-4.821775355202363,-5.825196953746399,0.008052478431863058,0.0029522226438002787,0.8277446056311112,2.7275986276893476
