		India	Iran	Nigeria	Kenya	Congo	Zimbabwe	Sri Lanka	Uganda	Afghanistan	Guinea
hematological	76	850	0	0	0	0	0	1	0	0	0
harbor	77	2086	67	88	19	22	19	184	12	7	0
harmonize	78	452	2	112	18	40	38	7	14	0	0
honor	79	14393	386	1474	200	248	162	606	125	27	0
honorable	80	1717	54	293	9	82	23	27	15	6	0
hospitalization	81	1521	24	17	6	2	6	21	4	0	0
hospitalize	82	1558	94	74	15	11	23	69	21	3	0
humor	83	1505	14	41	12	8	3	19	9	0	0
immunization	84	1366	18	239	10	51	20	24	15	1	0
install	85	24234	346	425	141	117	68	162	134	7	0
installment	86	2884	13	59	16	26	24	88	26	0	0
instill	87	987	10	102	20	21	15	31	8	1	0
jeopardize	88	658	45	129	13	16	8	15	7	3	0
jeweler	89	1816	2	4	0	0	1	10	0	5	0
jewelry	90	8393	35	101	13	4	6	282	11	5	0
judgment	91	18296	56	2337	175	271	133	157	122	5	0
kilogram	92	1278	242	71	62	41	39	200	78	40	0
kilometer	93	5579	1054	428	292	146	46	83	142	48	2
labeling	94	946	28	10	1	0	0	3	2	0	0
labor	95	13907	223	1373	173	251	171	351	142	9	0
laborer	96	5341	20	54	14	6	8	19	28	13	0
leukemia	97	807	11	9	2	8	2	17	7	0	0
liberalization	98	555	7	43	8	17	6	47	16	0	0
license	99	17535	398	797	203	167	148	287	180	35	0
licensed	100	1175	11	40	23	6	6	49	7	0	0
licensing	101	2826	27	98	24	25	40	30	33	0	0
liter	102	6990	430	550	148	109	141	72	113	21	0
localize	103	1205	26	40	16	5	9	53	3	0	0
maneuver	104	979	105	38	12	12	7	11	12	1	0
marginalize	105	746	17	108	22	39	13	37	16	1	0
materialize	106	888	65	32	14	18	11	22	13	3	0
maximize	107	3796	29	161	17	39	24	61	22	1	0
meager	108	665	13	59	15	12	10	14	13	2	0
meter	109	17405	929	789	238	211	142	237	164	39	0
millimeter	110	971	27	6	0	0	1	6	3	0	0
minimize	111	5701	87	180	61	46	57	193	30	4	0
mobilization	112	1178	97	249	22	86	29	120	49	8	0
mobilize	113	2510	81	698	77	146	101	73	105	5	0
modeling	114	2570	38	46	8	16	30	17	8	7	0
modernization	115	3205	40	65	10	25	13	37	6	1	0
modernize	116	1849	43	51	14	29	19	39	7	5	0
motorize	117	725	2	19	12	1	2	3	11	0	0
mold	118	8050	33	76	9	13	17	57	6	0	0
molding	119	2817	9	13	0	1	2	11	2	0	0
neighbor	120	7172	664	556	205	147	95	126	157	58	0
neighborhood	121	4653	364	242	59	54	12	47	61	15	0
neighboring	122	4107	701	350	131	125	50	58	90	48	0
neutralize	123	1045	72	105	7	9	3	11	4	16	0
normalize	124	1145	103	26	5	12	11	11	8	1	0
odor	125	828	2	21	5	9	2	17	13	0	0
offense	126	9848	67	1532	169	206	118	248	115	10	0
optimization	127	3804	14	33	4	7	4	21	1	0	0
optimize	128	7207	45	127	14	15	10	62	7	1	0
organization	129	71029	1429	3510	511	952	462	1374	357	175	1
organizational	130	2724	28	89	12	20	10	82	14	4	0
organize	131	27507	458	2039	234	390	108	932	225	69	0
organized	132	1676	39	153	29	26	22	57	32	4	0
organizer	133	3778	161	394	77	67	79	219	42	14	0
orthopedic	134	1526	7	16	7	4	0	22	5	1	0
pediatric	135	2489	19	19	14	14	8	41	2	0	0
panelist	136	758	4	45	7	12	2	36	3	7	0
penalize	137	1053	14	48	16	10	9	16	11	2	0
personalize	138	1621	5	21	6	2	4	18	6	0	0
personalized	139	2335	3	21	5	6	1	35	7	0	0
plow	140	669	21	30	26	13	18	9	16	1	0
polarization	141	1606	9	8	6	1	3	22	3	0	0
polarize	142	1400	5	45	9	4	10	10	8	0	0
politicize	143	483	40	94	28	16	6	10	5	2	0
popularize	144	611	1	12	14	7	8	12	4	0	0
practice	145	34005	371	2477	387	494	266	1019	276	40	0
pressurize	146	1307	9	16	2	3	1	13	3	3	0
prioritize	147	3228	79	288	32	87	67	63	40	14	0
privatization	148	1077	53	251	15	44	19	55	12	0	0
program	149	99209	1710	5537	732	1373	848	2417	555	185	0
publicize	150	690	25	48	16	20	14	20	8	1	0
randomize	151	1205	6	1	3	0	0	6	0	0	0
randomized	152	1149	2	1	3	2	0	2	0	0	0
rationalization	153	649	1	14	2	4	9	9	2	0	0
rationalize	154	600	9	22	10	7	3	15	4	0	0
realization	155	2569	64	229	29	51	32	48	13	5	0
realize	156	20166	252	1239	224	287	249	438	261	19	0
recognize	157	23025	609	1253	188	320	136	891	132	46	1
reflection	158	3154	28	224	50	45	21	61	23	3	0
regularization	159	712	1	13	0	1	0	1	0	0	0
regularize	160	818	3	49	3	15	13	5	3	0	0
reorganization	161	830	3	26	12	6	3	9	0	0	0
revitalize	162	612	15	87	11	17	7	25	9	2	0
revolutionize	163	1189	9	50	11	8	3	24	2	0	0
rumor	164	6354	109	572	47	80	45	61	40	37	0
sanitize	165	1515	7	126	15	9	16	8	16	0	0
skeptical	166	632	44	47	17	11	14	8	8	4	0
scrutinize	167	1146	22	70	26	17	8	27	15	0	0
sensitization	168	377	0	344	14	50	8	0	35	0	0
sensitize	169	1032	2	332	17	36	2	1	43	0	0
sheik	170	1422	165	59	21	16	0	14	37	8	0
specialization	171	933	1	44	6	10	2	24	1	1	0
specialize	172	4764	75	170	38	26	15	222	6	1	0
specialized	173	4021	92	150	40	50	13	136	58	2	0
stabilization	174	1448	16	49	5	6	22	19	8	2	0
stabilize	175	3144	114	257	42	59	47	43	26	20	0
stabilizer	176	900	1	10	0	0	0	0	0	0	0
standardization	177	780	18	34	12	20	2	8	3	3	0
standardize	178	689	2	29	10	6	2	10	2	1	0
standardized	179	1059	2	29	2	9	3	8	1	0	0
sterilization	180	1431	5	4	2	1	1	15	1	0	0
sterilize	181	867	8	6	5	1	2	8	6	0	0
subsidize	182	767	16	92	19	24	12	15	10	0	0
subsidized	183	819	20	31	30	7	14	26	8	0	0
sulfate	184	1668	47	2	1	2	1	3	0	0	0
sulfur	185	1878	116	13	5	14	1	16	4	3	0
summarize	186	1304	9	33	11	9	3	11	3	0	0
symbolize	187	636	11	43	9	11	4	31	5	0	0
synchronization	188	1913	11	1	0	0	2	2	0	1	0
synchronize	189	1181	22	16	3	5	1	9	3	0	0
synthesize	190	1329	8	3	1	3	1	4	0	0	0
siphon	191	669	5	90	10	10	16	6	3	0	0
theater	192	8075	131	255	55	47	33	142	36	11	0
ton	193	22893	4801	668	204	133	303	263	142	39	5
traveler	194	5433	105	301	87	38	46	226	62	5	0
tumor	195	6041	92	71	23	17	3	9	9	1	0
tire	196	9434	382	152	54	26	28	254	97	1	0
unauthorized	197	2700	31	96	9	23	2	42	8	1	0
unfavorable	198	38532	14	836	60	7	6	1612	6	0	0
unfavorably	199	40972	4	907	63	0	0	1812	0	0	0
unorganized	200	1042	0	5	0	0	1	2	1	0	0
urbanization	201	1041	3	40	16	34	4	36	7	0	0
utilization	202	5488	34	268	17	51	44	20	19	1	0
utilize	203	14112	86	397	52	88	63	239	54	7	0
vandalize	204	774	16	164	6	12	10	11	26	1	0
vapor	205	2041	14	5	2	0	1	21	1	0	0
visualization	206	1224	6	1	0	1	0	5	2	0	0
visualize	207	850	11	4	3	1	1	12	2	0	0
wagon	208	1237	95	28	7	9	12	2	8	0	0
ab	209	1773	11	20	0	2	1	4	37	0	0
ability	210	18696	321	928	190	221	113	387	166	21	0
able	211	44666	1029	3632	472	692	393	1141	487	103	0
about	212	281123	7728	16732	3230	3317	1915	3606	3093	668	1
above	213	97613	3039	2721	443	245	285	2893	249	20	0
absolute	214	3423	92	218	23	46	25	71	23	3	0
absolutely	215	4234	124	249	50	52	29	87	14	4	0
abuse	216	10158	373	1299	313	422	298	298	280	24	0
ac	217	678	0	31	0	0	1	1	0	0	0
academic	218	10477	252	1056	150	198	84	389	150	16	0
accelerate	219	16571	697	457	72	94	36	570	29	13	0
acceleration	220	2388	53	24	10	5	2	18	5	1	0
accept	221	23618	620	1400	288	291	198	663	178	68	0
acceptance	222	5904	27	191	27	39	29	159	14	3	0
access	223	68231	1519	3588	631	917	507	1035	516	93	1
accessibility	224	2106	11	73	15	32	12	45	16	2	0
accident	225	14119	150	996	251	206	154	388	248	67	0
accorde	226	5110	2	21	1	0	0	0	1	4	0
accordingly	227	10522	146	375	39	54	42	634	41	2	0
account	228	62449	1306	4245	705	718	382	2172	418	88	1
accountability	229	2774	52	656	69	116	55	182	75	16	0
accountant	230	2411	3	229	47	21	16	159	49	0	0
accurately	231	2497	33	40	6	5	1	20	6	3	0
accusation	232	1450	293	237	106	71	31	45	76	7	1
ace	233	1420	7	52	5	7	21	6	2	0	0
achieve	234	36436	726	3287	371	738	338	1171	261	105	0
achievement	235	8192	496	1190	104	234	96	348	103	76	0
acknowledge	236	7740	234	682	107	168	114	204	90	38	1
across	237	99854	1735	6130	863	997	525	1320	450	147	1
act	238	79671	1699	6547	906	1355	823	1615	691	348	1
acting	239	2005	25	264	61	35	25	39	19	14	0
action	240	72076	2235	4592	638	884	380	1494	406	146	1
active	241	31319	760	760	130	172	122	427	78	77	0
actually	242	12741	329	1272	209	221	194	216	176	12	0
acute	243	4336	73	152	27	41	28	39	13	4	0
ad	244	14262	75	456	140	57	15	106	14	0	0
adapt	245	9797	49	165	37	56	49	124	42	0	1
adaptation	246	2405	30	48	10	48	10	56	6	0	0
add	247	158009	12362	11971	2020	2142	681	2887	1715	1054	0
addict	248	778	9	80	20	2	5	34	3	38	0
addiction	249	2113	36	65	19	4	4	24	17	5	0
addition	250	38929	701	1468	218	336	171	1428	195	48	0
additional	251	65644	1179	1204	341	280	107	734	98	42	0
additionally	252	9042	97	126	37	22	15	150	44	6	0
adequate	253	12559	67	979	98	125	86	295	49	9	0
adjacent	254	8278	41	31	19	19	9	18	13	0	0
administration	255	40722	1596	6707	529	787	166	1738	149	95	0
admission	256	10340	44	589	92	45	30	115	38	1	0
adult	257	9729	169	391	120	98	54	148	79	5	0
advance	258	29866	989	1018	197	223	92	976	88	30	0
advanced	259	20383	576	521	110	66	60	409	55	6	1
advantage	260	16904	348	1087	214	232	187	323	163	22	0
adventure	261	2625	35	78	30	11	27	83	16	0	0
adverse	262	10976	49	582	134	35	36	941	22	0	0
advertisement	263	8993	22	172	60	15	9	40	18	0	0
advice	264	11078	131	960	164	135	73	268	143	10	0
advise	265	14135	225	2501	251	293	186	250	415	35	0
adviser	266	4101	363	1215	87	108	13	42	27	30	0
advisory	267	9193	121	280	180	29	13	172	33	7	0
afford	268	4074	80	720	132	167	126	115	124	11	0
affordability	269	1079	4	56	7	9	8	22	11	0	0
afghan	270	1953	727	19	22	0	1	10	9	2138	0
after	271	317072	9236	15888	5645	3460	2777	6742	3247	772	6
afternoon	272	6971	176	290	141	122	85	205	92	38	0
again	273	34521	895	3022	578	601	416	757	352	89	0
against	274	191865	10478	13297	2759	2419	1486	5103	1395	663	4
age	275	36349	586	2133	520	553	312	801	633	31	0
agency	276	134834	2496	6898	746	786	129	543	314	126	0
agenda	277	8927	454	1162	284	341	172	264	81	52	0
agent	278	28735	311	1575	264	248	147	395	190	22	0
aggregate	279	148960	271	720	76	28	34	795	48	1	0
aggressive	280	4556	170	225	50	22	18	68	52	3	0
aggressively	281	1508	15	57	12	19	6	26	3	3	0
aggrieved	282	563	2	329	20	27	4	11	20	0	0
agm	283	15151	0	72	15	3	2	137	3	0	0
ago	284	724813	40049	20302	5341	505	333	40854	382	162	0
agreement	285	40692	3653	1869	438	598	278	1138	260	325	0
ahead	286	26043	649	2117	640	431	268	484	306	44	1
ai	287	2589	7	42	4	18	0	24	1	0	0
air	288	62780	1403	1729	373	291	149	698	247	220	0
airborne	289	732	15	21	5	2	3	10	5	2	0
aircraft	290	17685	789	983	190	152	32	249	21	25	0
airline	291	11575	160	1497	165	155	43	423	82	11	0
airport	292	21582	670	1654	200	205	49	476	103	61	1
akin	293	716	5	78	14	8	9	19	9	0	0
alarm	294	5134	99	521	74	50	17	25	38	2	0
alarming	295	1633	62	199	31	37	21	38	20	1	0
album	296	2265	12	346	43	87	422	23	13	2	0
alcoholic	297	1567	21	80	26	26	6	20	10	1	0
alert	298	12186	444	499	105	73	58	187	52	10	0
all	299	433984	39028	43291	5031	5410	3592	32659	3376	687	5
allege	300	29833	434	3335	276	484	234	427	255	46	0
allot	301	6074	8	66	8	18	3	23	4	3	0
allow	302	91363	2079	4674	1099	823	597	1774	570	102	0
alloy	303	10663	63	12	3	0	3	7	1	0	0
ally	304	8662	1555	590	528	90	67	240	40	41	0
almost	305	26009	836	1599	399	347	256	457	265	55	0
alone	306	13029	235	1241	247	224	156	248	185	26	0
along	307	79238	1100	2217	450	453	297	1137	261	135	0
alpha	308	13716	12	23	8	2	5	44	2	0	0
already	309	54166	1435	3785	826	808	648	1058	609	75	1
also	310	545985	17328	34279	6253	6347	3971	13841	4079	1342	2
alt	311	2737	4	9	2	2	0	0	0	0	0
alternative	312	13687	336	752	164	164	87	267	136	11	0
although	313	16254	776	1456	418	394	352	563	432	46	1
always	314	35109	816	3848	706	609	554	737	604	61	0
am	315	19924	41	632	172	81	67	191	99	25	0
amazing	316	4834	45	220	59	32	52	125	37	1	0
ambassador	317	7192	1467	893	141	355	122	488	113	176	1
america	318	996	16	22	7	9	3	5	3	0	0
amount	319	69371	1426	1902	429	529	263	2229	255	52	1
an	320	940214	22238	33436	8318	6651	4505	19552	4673	1406	11
analysis	321	84364	833	1606	246	111	81	2542	85	7	0
ancient	322	2743	302	441	24	32	13	181	13	23	0
and	323	7178450	167399	340021	65369	64950	39728	176437	41408	13572	56
anger	324	3025	189	325	89	61	51	47	45	11	0
angry	325	2626	146	329	74	49	45	44	46	4	0
animal	326	20349	424	634	333	182	147	352	274	11	0
animation	327	1596	112	26	2	11	1	12	12	0	0
announce	328	148692	3414	4346	931	560	334	5791	284	171	2
announcement	329	35845	638	484	131	118	77	682	76	42	0
annual	330	402260	12174	10154	2102	321	161	19592	216	25	1
another	331	132200	6540	7419	1657	1116	768	3799	900	330	0
anti	332	30490	1560	2193	333	364	203	332	167	205	0
antimicrobial	333	1174	2	7	14	8	0	10	10	0	0
any	334	184818	3819	13208	1972	2046	1211	3072	1408	275	1
anybody	335	2208	46	1131	89	101	30	26	42	3	0
anymore	336	2045	61	197	40	41	39	42	27	16	0
anyone	337	11772	233	1359	211	213	188	285	137	34	0
anything	338	12740	282	1772	283	248	199	218	225	19	0
anywhere	339	4805	77	526	70	64	39	87	73	10	0
app	340	29792	327	433	115	57	30	233	46	10	0
appeal	341	27005	729	3454	486	548	310	666	279	2	1
applicant	342	26064	92	630	86	122	94	80	75	10	0
application	343	526440	321	1764	362	399	288	616	185	13	0
apply	344	56003	397	1103	279	248	284	339	236	20	0
appreciate	345	8205	199	1298	129	212	128	254	129	30	0
apprenticeship	346	1087	4	12	3	4	2	3	3	0	0
approach	347	40003	1074	1869	325	479	320	586	233	44	0
appropriate	348	15209	237	1063	94	203	92	176	86	18	1
approve	349	63095	825	2091	265	364	146	488	183	110	1
approximately	350	51903	256	203	64	85	36	245	47	13	2
apr	351	5559	445	209	53	2	0	243	4	0	1
ar	352	760	12	22	2	0	0	3	0	0	0
arbitrary	353	1525	61	101	19	33	7	34	15	2	0
are	354	874	32	63	8	10	2	17	8	1	0
area	355	155879	3124	9998	1296	1925	1042	3021	1204	700	1
arena	356	2677	144	170	55	24	20	89	17	5	0
arm	357	23235	1149	1710	348	322	126	348	183	31	0
army	358	8799	2343	1119	134	246	137	164	367	89	0
around	359	102862	2012	4158	955	924	801	1902	750	250	1
art	360	23615	433	866	257	237	294	508	133	40	0
article	361	24869	546	485	250	277	145	546	204	122	2
artificial	362	7483	114	138	25	24	18	77	32	2	0
artisan	363	1445	10	177	6	18	5	16	3	0	0
artist	364	9115	227	377	124	170	153	165	44	24	0
as	365	1427673	29907	88791	16056	15928	11209	44169	10056	2271	17
ash	366	2550	40	20	11	2	6	21	5	0	0
ashok	367	1008	0	0	0	0	0	18	0	0	0
ask	368	85533	1167	4778	1378	932	481	982	1163	310	2
assault	369	8486	355	542	154	139	141	204	78	30	0
assembly	370	42793	104	763	235	131	48	87	48	18	0
assessment	371	18056	215	625	102	177	99	162	131	24	1
asset	372	995390	1348	24701	2452	349	195	49145	158	13	0
assets	373	21934	0	572	29	0	0	1247	0	0	0
assist	374	13564	228	1461	228	348	338	387	65	55	0
assistant	375	14516	157	1482	201	266	111	382	154	9	0
associate	376	43903	300	1238	222	193	134	805	123	18	0
association	377	16095	190	1471	129	263	213	331	112	10	0
astral	378	1272	4	3	0	0	0	0	0	0	0
at	379	1577158	49006	67293	16314	11801	8314	48132	9547	1686	10
athlete	380	4843	195	324	324	137	129	149	40	29	0
atmosphere	381	4564	237	318	33	53	18	123	39	5	0
atms	382	906	0	9	8	4	0	13	0	0	0
attached	383	3849	0	7	2	4	0	16	0	0	0
attack	384	41883	4937	5423	1084	843	355	1181	526	1327	0
attention	385	17462	407	2070	249	343	182	492	200	87	0
attraction	386	2487	91	126	43	38	23	87	28	4	0
atul	387	1444	0	0	1	0	0	1	0	0	0
au	388	2505	230	199	44	125	25	111	17	0	0
auction	389	10581	31	189	116	38	118	164	15	2	0
audio	390	12560	47	105	18	20	15	36	15	4	0
august	391	1037	7	22	9	26	14	72	5	0	0
australian	392	8235	200	105	58	10	21	246	20	14	0
authority	393	50480	1342	2304	596	724	636	1195	448	193	1
automation	394	7044	15	93	17	21	9	62	4	0	0
automotive	395	10856	146	48	17	15	3	66	8	3	0
avail	396	6059	27	213	30	54	87	67	57	3	0
avalanche	397	690	11	17	6	6	4	1	0	4	0
avg	398	88285	1798	2596	411	0	0	5079	0	0	0
avoid	399	20460	505	1561	381	288	245	331	281	38	0
await	400	8362	115	502	112	96	72	106	71	16	0
award	401	212010	742	2883	449	578	400	1868	250	51	3
aware	402	11472	206	1252	243	225	190	270	140	21	0
awareness	403	15253	79	746	115	184	95	298	78	45	0
away	404	38648	726	2958	799	635	542	801	673	58	1
awesome	405	707	5	59	11	10	9	16	6	1	0
baby	406	12129	97	1027	267	136	62	131	210	4	0
back	407	111032	3717	7010	2095	1420	1277	1902	1160	177	2
background	408	11788	378	546	88	89	79	184	124	4	0
bad	409	45059	979	3487	816	467	336	1783	447	52	0
bail	410	13426	38	1227	96	151	190	329	111	0	0
balance	411	38867	321	1406	218	157	148	2004	115	20	0
ball	412	20937	99	345	249	104	157	422	107	30	0
ban	413	17999	1202	1221	433	234	180	462	225	35	0
band	414	23574	1029	458	143	61	123	587	45	24	0
bank	415	89981	2339	6249	1575	867	632	3390	615	36	0
banking	416	25509	968	1945	700	182	111	2466	114	7	0
banquet	417	838	11	54	5	5	1	61	3	0	0
bar	418	18863	259	532	247	125	133	294	205	6	0
bare	419	1356	17	210	38	20	12	57	16	3	0
bargain	420	669	49	142	24	20	1	43	25	0	0
base	421	417578	11710	9192	2269	1119	786	11581	595	280	17
baseless	422	1221	121	124	9	14	9	55	17	8	0
bash	423	851	7	30	5	3	8	8	5	0	0
basic	424	30992	789	1405	206	285	131	984	133	31	0
basically	425	2296	71	242	41	31	45	59	37	5	0
basis	426	52105	642	1333	238	322	197	642	133	65	1
basketball	427	1407	64	150	77	34	38	40	31	4	0
bastion	428	586	47	26	11	4	2	6	7	0	0
battle	429	11085	645	1264	421	248	186	277	187	58	1
bay	430	3861	39	83	52	20	16	60	14	4	0
bb	431	350	1	431	0	0	0	276	0	0	0
be	432	8831256	247235	458857	96931	79908	60000	237755	59910	13246	44
beach	433	4365	55	114	59	17	11	646	39	0	0
bear	434	22829	441	2071	419	336	271	1672	284	41	0
bearer	435	2843	10	164	36	61	18	97	65	1	0
beast	436	620	10	28	4	9	43	10	10	0	0
beat	437	24955	1056	1647	578	252	254	1047	314	42	0
beautiful	438	6894	99	448	97	61	60	167	98	4	0
because	439	83409	2126	14828	2512	2658	1750	1478	2748	210	2
bed	440	13903	130	438	181	91	80	221	202	16	0
bee	441	839	62	42	17	4	3	10	34	0	0
before	442	196610	2696	12648	2632	1908	1403	8013	1837	185	1
begin	443	64365	1627	3908	841	615	350	1930	329	102	0
beginning	444	23391	621	1094	181	132	125	1614	72	24	0
behave	445	1871	42	175	29	27	25	68	36	3	0
behind	446	25230	834	2081	572	402	324	488	292	103	0
being	447	6493	122	650	100	105	73	236	81	7	0
believe	448	39622	1612	4954	755	849	579	991	549	138	0
bell	449	1597	11	43	17	18	5	24	11	1	0
belonging	450	665	12	81	12	20	9	10	18	3	0
beloved	451	879	19	111	14	24	25	45	12	1	0
below	452	92957	1777	1999	404	155	164	2606	133	29	0
benchmark	453	137517	1067	3576	322	32	20	7022	9	10	0
bend	454	3276	34	78	20	18	4	23	17	0	0
benefit	455	64991	755	3408	535	710	438	3106	426	68	0
beside	456	1200	51	116	12	14	4	10	11	10	0
bet	457	3712	30	181	109	18	9	43	15	1	0
beta	458	128609	8901	2947	1307	1	3	5819	3	0	0
beyond	459	16469	378	1774	258	263	242	460	210	19	0
bg	460	1198	38	6	0	0	0	9	0	0	0
bi	461	1535	18	45	4	11	7	14	3	0	0
bias	462	4068	49	163	43	28	27	35	28	2	0
bicycle	463	3237	14	43	25	38	6	29	18	6	0
bidding	464	4464	43	88	16	20	3	27	12	3	1
big	465	82404	3025	3505	1263	696	749	1791	803	77	0
bihar	466	1408	0	0	0	0	0	0	0	0	0
bike	467	7552	19	78	23	34	1	58	9	4	0
bill	468	27108	743	3645	628	578	259	549	281	11	0
billion	469	1793	188	446	119	70	25	61	46	6	0
bioscience	470	1474	7	2	0	1	0	6	0	0	0
bird	471	6435	112	202	73	19	37	84	69	0	0
birth	472	8437	104	748	198	136	110	194	134	8	0
bit	473	15008	138	404	160	78	94	133	91	4	0
bizarre	474	789	27	53	17	7	8	10	5	0	0
bjp	475	6149	3	0	0	0	0	0	1	0	0
black	476	20369	627	767	229	269	345	248	188	38	0
blame	477	7237	585	1113	335	209	152	166	208	53	0
blank	478	2622	16	46	25	9	5	10	5	0	0
blast	479	5588	535	154	67	44	23	41	25	215	0
blatant	480	493	85	58	11	14	8	16	4	2	0
blaze	481	1352	76	51	27	13	13	18	14	4	0
bloc	482	559	286	79	59	46	21	14	26	1	0
block	483	45991	726	1082	285	208	134	268	286	22	7
blockbuster	484	1385	4	16	8	7	7	9	1	0	0
blood	485	19961	369	1005	214	189	99	266	275	58	0
bloody	486	518	73	142	24	37	7	12	19	10	0
bloom	487	1467	44	19	4	3	1	25	0	0	0
blow	488	6245	283	413	165	74	78	104	77	33	0
blue	489	8686	86	218	105	72	37	337	51	4	0
bo	490	1370	0	5	1	0	0	1	0	0	0
board	491	84001	503	2693	747	453	469	1818	245	43	0
boat	492	5213	200	357	63	97	25	325	107	11	0
body	493	99464	1145	3392	759	701	399	1037	788	119	0
boil	494	1638	16	90	31	14	5	28	55	0	0
bold	495	3101	22	314	52	58	37	59	22	4	0
bomb	496	3993	868	353	119	76	32	143	32	138	0
bond	497	65394	219	740	274	209	223	691	78	4	0
book	498	203344	726	5720	1218	320	244	8940	311	24	0
boom	499	2155	93	127	30	30	11	46	15	2	2
booth	500	4665	27	53	4	5	3	17	16	2	0
border	501	22436	2895	1622	509	370	268	162	356	231	0
boring	502	980	5	19	8	5	5	14	7	0	0
borrower	503	4126	5	138	73	10	3	63	26	0	0
borrowing	504	19756	21	899	52	52	15	1949	28	1	0
boss	505	3431	47	1393	459	186	119	26	183	9	0
both	506	149561	5422	6242	1387	1210	729	3817	829	255	1
bottom	507	180083	7649	4226	930	61	66	8171	61	1	0
bound	508	869	7	65	5	9	9	18	3	1	0
bowler	509	6124	0	1	5	0	7	217	0	9	0
boxing	510	1379	8	181	74	53	64	24	61	0	0
