		Australia	New Zealand	Sweden	Austria	Belgium	Denmark	Norway	Finland	Netherlands	Czech Republic
kilometer	85	15137	1944	79	5	179	143	167	75	154	80
labeling	86	1266	40	14	2	144	14	1	45	19	1
labor	87	26875	2799	171	49	2331	116	19	117	192	310
legalize	88	1116	297	2	0	21	3	0	0	3	4
leukemia	89	1683	102	96	0	197	21	54	2	39	1
license	90	30391	2513	1395	52	2089	594	1822	346	241	181
licensed	91	2701	184	126	0	176	12	11	60	7	2
licensing	92	6996	277	297	1	450	71	196	579	31	4
liter	93	7674	2967	47	4	123	45	21	42	684	97
localize	94	1666	90	47	4	66	14	22	4	22	4
maneuver	95	1575	237	12	2	79	11	17	4	21	5
marvelous	96	986	129	2	0	27	1	0	0	1	0
materialize	97	760	90	32	4	56	96	34	46	9	10
maximize	98	9586	471	201	14	618	151	170	20	66	1
medieval	99	719	152	3	0	247	1	0	0	1	13
meter	100	34646	5219	769	60	1730	362	296	223	273	240
millimeter	101	2230	201	8	0	78	13	0	3	1	3
minimize	102	8246	801	207	8	713	120	70	144	103	11
mobilize	103	2234	141	26	2	511	7	149	10	31	6
modeling	104	5810	273	14	8	229	21	18	57	90	2
modernization	105	2756	36	78	10	324	34	57	138	14	91
modernize	106	3233	161	54	10	375	21	30	64	16	40
mold	107	5559	464	81	89	143	104	10	87	33	1
molding	108	1806	56	5	4	23	140	2	4	71	6
neighbor	109	10553	2935	124	4	716	13	12	58	54	41
neighborhood	110	10427	1149	100	0	911	36	36	14	72	32
neighboring	111	2998	536	56	40	393	16	15	20	22	80
normalize	112	1023	137	19	4	30	77	51	22	83	2
odor	113	946	161	64	1	21	14	0	0	5	2
offense	114	15171	1707	16	0	3430	10	4	16	30	22
optimization	115	6193	51	505	10	140	238	100	161	173	6
optimize	116	12874	204	543	38	354	295	279	223	218	7
organization	117	115802	6374	2189	67	8486	1027	621	1071	1310	249
organizational	118	5650	230	107	6	414	114	69	168	87	10
organize	119	20490	2465	269	13	2804	118	264	291	528	306
organized	120	1510	295	9	0	312	2	1	12	9	13
organizer	121	8233	1735	16	3	437	47	1	18	27	193
orthopedic	122	2849	69	178	0	182	65	8	24	8	2
pediatric	123	3615	71	31	0	390	100	4	3	4	1
pedophile	124	1163	107	0	0	22	0	0	0	0	0
panelist	125	2287	42	1	0	51	1	0	6	1	3
penalize	126	1199	296	1	0	66	0	0	0	7	0
personalize	127	3007	95	56	4	137	29	1	26	38	1
personalized	128	5603	234	68	2	401	109	38	44	37	1
plow	129	1350	244	1	8	48	5	2	11	5	2
practice	130	85910	5314	379	25	5925	219	285	297	395	113
prioritize	131	4986	656	118	2	445	70	60	13	54	8
privatization	132	1664	49	11	6	58	9	7	1	6	33
program	133	205607	9969	4097	307	16794	16762	8315	2015	7209	812
publicize	134	903	151	13	0	111	4	7	2	11	2
realization	135	1673	255	37	4	144	38	66	39	42	6
realize	136	22206	4012	623	29	1180	724	467	161	425	59
recognizable	137	1139	151	7	0	41	3	5	0	19	1
recognize	138	71845	4011	613	94	5198	438	503	328	264	67
reflection	139	4414	611	25	14	345	17	12	9	59	7
reorganization	140	3114	44	94	17	75	49	61	71	9	61
revitalize	141	1620	197	8	0	83	2	3	2	2	4
revolutionize	142	1820	112	61	16	113	28	3	24	51	0
rumor	143	3819	676	23	13	82	2	5	3	110	9
savor	144	1372	173	0	0	3	1	0	0	0	0
savory	145	1478	118	0	0	16	0	0	1	109	0
skeptical	146	1272	215	7	3	55	9	4	2	11	8
scrutinize	147	1267	165	4	0	176	19	0	170	9	1
socialize	148	1113	229	0	1	77	4	0	1	4	2
specialize	149	25460	724	1547	67	2602	463	746	947	910	46
specialized	150	7973	417	184	57	325	138	370	39	333	24
stabilization	151	1584	52	160	9	411	112	181	64	25	22
stabilize	152	3764	258	160	3	186	87	18	59	32	36
standardization	153	865	10	11	0	323	14	10	24	12	0
standardize	154	959	43	27	3	79	25	43	2	6	2
standardized	155	1341	49	40	3	154	66	40	8	38	1
subsidize	156	1563	324	3	1	75	4	0	1	7	19
sulfate	157	1348	30	72	0	101	3	2	7	6	0
sulfide	158	1997	15	7	0	10	28	0	5	0	2
sulfur	159	2256	127	6	3	234	4	34	30	6	6
summarize	160	1879	110	90	8	265	38	23	16	47	4
synchronization	161	1558	3	249	2	18	3	3	43	20	0
theater	162	11868	2104	62	0	1102	123	1	388	33	81
ton	163	27148	2659	295	106	1410	281	1420	361	210	194
traveler	164	12141	1306	16	4	278	81	17	44	10	21
tumor	165	6876	441	418	0	496	207	178	12	77	20
tire	166	8573	901	256	0	247	100	1	766	134	17
unauthorized	167	1860	158	11	1	286	10	0	4	15	8
unfavorable	168	109631	1723	8866	956	2645	2223	3539	3621	2186	158
unfavorably	169	80528	2044	10015	1882	3408	2629	4139	4371	3779	144
unrivaled	170	1593	47	14	0	59	16	8	2	21	0
utilization	171	3128	64	217	24	156	137	915	180	62	8
utilize	172	15454	530	508	19	492	253	246	255	162	13
vapor	173	1540	67	4	0	33	0	1	3	31	0
visualization	174	2287	18	117	0	116	48	15	9	74	2
visualize	175	1168	49	9	1	56	13	1	0	29	1
wagon	176	1479	417	23	3	9	2	0	6	10	5
ab	177	3289	293	1675	2	59	129	12	2	191	9
ability	178	42638	5023	534	32	1963	501	386	243	362	44
able	179	89576	14274	1053	90	6714	991	424	549	910	323
about	180	464438	87704	5326	606	23963	5473	3735	2455	4498	2202
above	181	117484	8516	24396	1960	8632	7788	8527	6806	3156	449
absolute	182	7421	1023	66	15	343	33	25	41	51	44
absolutely	183	11751	2523	16	3	634	17	5	12	65	43
abuse	184	21552	3585	129	50	2091	1208	3	127	169	143
academic	185	16223	999	193	3	2425	58	25	27	142	73
accelerate	186	33377	1069	3674	221	1183	992	1076	868	686	162
acceleration	187	2571	249	29	10	136	40	25	21	119	19
accept	188	33330	4632	322	36	2184	426	361	258	270	397
acceptance	189	24632	614	167	23	416	257	370	134	103	31
access	190	157731	7664	3068	134	10696	932	847	1060	1091	249
accessibility	191	3132	182	84	2	570	35	5	31	48	4
accident	192	13425	2416	86	89	598	124	30	21	68	125
accordingly	193	3620	384	196	25	607	393	184	72	91	24
account	194	85343	6134	10012	848	8681	2946	4870	3063	1700	463
accountability	195	3974	405	72	1	574	7	0	8	30	1
accountant	196	13281	636	122	4	241	125	145	221	106	2
accurately	197	4076	263	50	9	240	23	42	11	39	3
accusation	198	2323	482	16	6	134	8	2	1	33	52
ace	199	1953	478	41	10	27	2	3	0	9	0
achieve	200	53500	5432	967	129	5437	943	762	586	574	125
achievement	201	19258	1540	122	11	1908	143	125	72	81	12
acknowledge	202	13671	3220	50	18	1152	46	17	11	82	19
across	203	185543	14199	1437	254	11884	1187	932	692	1411	261
act	204	82394	10153	1300	169	10452	1762	1450	1677	711	190
acting	205	2119	306	99	0	86	22	29	23	0	7
action	206	75798	9584	657	85	11434	670	437	376	650	95
active	207	37227	2657	4063	89	4185	1019	1606	916	1262	177
actually	208	32486	6967	25	14	932	28	4	18	406	66
acute	209	4268	367	183	2	419	155	18	11	39	17
ad	210	16620	1116	394	42	881	127	107	31	976	29
adapt	211	12895	1188	1163	19	1021	235	98	123	234	22
adaptation	212	2308	398	213	5	416	49	12	83	27	16
add	213	161087	15636	7255	602	10204	2422	2394	2001	2120	1947
addict	214	1216	259	1	0	19	0	0	0	5	27
addiction	215	3588	805	9	1	132	9	0	2	33	25
addition	216	81757	2360	2059	198	3892	1579	2201	1387	1154	175
additional	217	112781	3919	6227	452	6234	2158	2834	2427	1251	101
additionally	218	16187	157	162	25	342	117	99	156	236	18
adequate	219	14377	496	265	11	895	47	120	55	48	18
adjacent	220	7794	439	94	15	330	49	45	62	74	9
administration	221	62179	2589	5833	481	2911	1688	1709	1834	922	200
admission	222	7114	654	120	13	626	101	51	98	35	14
adore	223	992	230	3	0	15	0	0	0	6	2
adult	224	27155	3563	323	10	2439	203	17	55	119	75
advance	225	43521	2665	3810	352	2553	1711	1303	1525	492	96
advanced	226	41859	1402	4018	398	1951	1644	2094	1414	679	42
advantage	227	26047	2912	306	18	1023	179	196	110	282	94
adventure	228	7972	1433	117	2	202	10	133	10	126	2
adverse	229	4356	473	57	6	1050	119	34	531	359	36
adversity	230	1059	177	7	0	43	2	0	0	9	0
advertisement	231	4886	477	61	0	189	33	39	22	128	20
advice	232	40311	5123	120	11	4929	238	77	60	234	24
advise	233	59407	7212	169	18	1632	200	370	50	108	15
adviser	234	14448	1805	705	6	582	478	143	444	59	41
advisory	235	32932	660	287	4	898	288	476	101	126	51
afford	236	8916	1923	32	3	356	39	10	6	48	26
affordability	237	3570	413	0	7	85	1	2	4	19	3
afghan	238	1025	254	12	0	80	0	0	9	40	21
after	239	518326	79778	26697	1921	19447	7428	12457	7022	4818	2431
afternoon	240	26604	4066	33	40	799	11	28	21	50	225
again	241	72945	14593	278	94	2780	217	162	138	423	423
against	242	223965	29394	22628	1474	13197	5968	7104	6483	3883	1740
age	243	79189	11510	1191	22	6220	231	124	257	339	363
agency	244	61954	4695	4956	178	5074	1576	946	1247	597	365
agenda	245	13533	882	320	71	3252	1063	747	402	546	170
agent	246	35135	2481	391	16	1332	270	251	184	182	59
aggregate	247	53481	4276	10421	5952	4399	3795	6795	4706	5794	832
aggressive	248	6876	1035	51	7	310	28	85	11	64	21
aggressively	249	1753	172	16	0	23	4	8	10	17	5
agm	250	18617	227	1988	107	157	426	717	447	695	7
ago	251	1869115	55697	320493	25292	64827	68716	97512	80174	53366	4544
agreement	252	73666	4911	6638	173	10045	2910	5513	2292	1041	479
ahead	253	52472	9036	426	42	2233	328	229	93	348	135
ai	254	3894	73	52	4	95	22	16	24	58	7
air	255	59689	6511	1592	118	3361	290	975	195	602	221
airborne	256	1641	108	50	0	42	6	1	6	7	3
aircraft	257	26672	1455	488	162	883	139	157	55	74	158
airline	258	19786	1887	181	122	226	112	318	84	85	32
airport	259	23039	2807	544	311	708	644	39	134	134	195
akin	260	2088	208	3	2	27	0	0	0	18	1
akso	261	28	5	10	0	0	0	1033	0	0	0
alarm	262	6973	1227	231	4	699	109	3	74	111	8
alarming	263	1576	301	10	0	91	2	3	3	13	11
album	264	9161	1716	4	0	160	6	4	0	28	7
alcoholic	265	3640	226	50	2	208	11	1	60	28	99
ale	266	1677	134	2	0	141	63	0	1	0	466
alert	267	35588	3656	757	62	1071	167	255	203	403	43
all	268	1272199	95318	47123	2965	43751	11813	18822	11995	10704	2335
allege	269	20505	2390	71	4	639	9	18	8	72	30
allot	270	552	216	141	1	11	123	101	0	10	5
allow	271	124360	13814	7054	470	8673	1846	2135	1655	2088	323
alloy	272	5734	392	149	11	224	26	55	179	343	4
ally	273	7559	1056	47	5	475	66	3	13	34	123
almost	274	51995	8862	400	92	2076	256	207	355	435	608
alone	275	18935	3524	104	21	1143	124	120	53	154	111
along	276	78937	10791	490	39	3906	223	254	109	550	284
alpha	277	65883	66	5721	832	2070	1644	1724	1795	41	212
already	278	76569	12717	916	147	5830	710	497	496	962	457
also	279	791560	70348	32152	2511	41162	11535	12132	10567	9748	3390
alt	280	1226	58	17	0	22	31	0	0	5	0
alternative	281	23655	2611	696	34	2019	256	395	288	368	140
although	282	40772	8679	3841	52	2449	1084	960	116	433	178
always	283	71122	14763	167	25	3231	249	78	178	430	149
am	284	35324	5033	943	75	2671	556	987	956	181	6
amazing	285	17345	3036	33	1	684	18	31	5	57	10
ambassador	286	9075	780	89	2	693	18	17	37	32	248
america	287	4031	166	67	2	106	53	34	146	119	0
amount	288	58029	6170	10844	311	5628	5851	2777	2709	1736	685
amp	289	1852	134	14	0	13	0	0	0	27	0
an	290	1551878	138011	82746	5582	73783	25467	37848	22468	22338	3935
analysis	291	127879	3241	20537	1464	7006	4259	5073	5436	3500	375
ancient	292	3976	754	33	4	339	3	0	0	26	10
and	293	12451327	1053102	638240	53373	671481	224589	264053	234118	176218	36050
anger	294	3795	935	12	2	109	2	0	0	16	8
angry	295	4187	1153	7	0	79	0	0	8	24	11
animal	296	34924	5686	732	5	3058	271	62	206	379	99
animation	297	2652	159	34	0	121	2	0	399	30	3
announce	298	548186	18884	44807	2714	10403	11825	18005	10120	8818	732
announcement	299	94858	5337	1142	491	1467	9550	4841	1495	674	52
annual	300	922930	32821	135124	12652	36385	40290	51971	49034	26493	2434
another	301	235867	25569	38152	2498	10340	7288	10582	7795	5850	1132
anti	302	23876	2301	608	9	2398	184	135	76	311	471
antimicrobial	303	1002	33	74	0	242	5	0	0	44	0
any	304	190419	30908	6420	235	39852	5282	2490	2054	2194	755
anybody	305	3064	726	7	2	262	4	0	0	15	10
anymore	306	2855	464	1	0	66	10	6	2	29	28
anyone	307	29820	6963	50	1	6553	92	16	34	253	47
anything	308	27405	6942	36	6	1200	14	5	10	208	91
anywhere	309	9411	1512	29	2	260	18	7	9	87	19
anz	310	2554	1642	0	0	0	0	0	0	0	0
app	311	31702	2692	337	10	839	177	87	89	1237	45
appeal	312	41692	4565	2577	105	6354	418	691	438	400	206
applicant	313	9456	615	26	6	2213	16	33	18	16	50
application	314	146247	3964	3263	400	13054	1204	1896	1346	1024	178
apply	315	51206	5730	863	64	10818	730	539	474	537	288
appreciate	316	14860	1576	1561	8	852	473	391	503	376	113
apprenticeship	317	5096	323	6	0	1340	0	11	5	5	3
approach	318	62501	7460	1101	112	6756	403	439	340	857	258
appropriate	319	17680	2213	80	12	4129	192	57	50	123	15
approve	320	36034	2391	2186	189	3623	2212	2778	1642	673	606
approximately	321	52388	1482	6091	92	2074	2493	3830	3270	1107	68
apr	322	13577	336	3782	246	377	574	772	1126	479	29
ar	323	1091	23	42	0	20	8	4	43	20	2
ardern	324	107	1770	0	0	1	0	0	0	0	0
are	325	1417	112	26	12	153	12	16	19	22	10
area	326	200220	20507	7104	345	20929	2209	2251	2378	1567	646
arena	327	8107	966	81	1	211	44	7	45	201	42
arm	328	23418	3413	167	67	1226	90	114	33	153	170
army	329	4371	967	63	0	228	4	4	0	42	77
around	330	170292	33360	2060	232	10704	1741	1198	1685	1897	582
art	331	57895	5995	344	86	4200	346	241	93	258	205
article	332	52954	1955	702	84	36805	2990	192	520	844	70
artificial	333	10595	609	300	24	531	82	210	50	115	23
artisan	334	1395	171	0	0	29	2	1	0	15	0
artist	335	28006	3630	120	0	1855	40	0	17	214	104
as	336	2737607	229657	135085	10930	131386	51214	62548	50969	44025	8084
asa	337	195	1	6	0	0	28	2157	2	0	0
asb	338	1034	562	0	1	34	0	0	0	0	0
ash	339	2452	247	17	13	123	5	15	71	12	1
ask	340	81210	18611	375	26	8666	278	390	283	612	471
assault	341	17104	3528	16	3	2569	1	0	5	60	9
assembly	342	17099	299	659	93	491	143	149	194	519	99
assessment	343	24478	1943	340	48	6314	442	220	183	148	98
asset	344	2086313	57579	284558	31067	72669	68246	106809	100714	62637	3284
assets	345	19358	1400	6168	705	1700	1349	2545	2267	1380	33
assist	346	36781	2994	337	28	2455	104	152	102	228	65
assistant	347	23076	2095	166	33	853	88	40	55	115	34
associate	348	75496	3300	1447	189	2874	2187	2067	1526	1053	105
association	349	18904	1583	625	49	1594	635	139	164	171	266
ast	350	3941	5	1	0	89	0	2	0	0	10
asx	351	31659	775	134	20	38	40	68	76	3	0
at	352	3382805	258995	232494	21641	134573	68226	98853	79521	47966	9898
athlete	353	11634	2650	21	0	374	31	0	8	10	22
atmosphere	354	8051	1063	8	0	392	22	2	13	44	26
attached	355	612	624	14	0	81	97	192	12	0	1
attack	356	50355	9910	187	14	3235	71	129	84	332	453
attention	357	22096	3278	144	30	1388	131	29	67	269	105
attraction	358	6156	935	4	0	300	14	0	6	21	12
au	359	95786	310	1908	25	372	76	531	155	115	6
auction	360	17871	1649	439	8	421	502	59	108	27	166
audio	361	15446	628	419	39	438	376	287	598	315	22
august	362	911	96	43	5	596	96	103	73	29	5
australasian	363	976	237	0	0	5	3	2	0	0	0
australian	364	450630	8522	55	1	167	63	26	6	43	22
authority	365	32991	4365	1113	89	10507	697	644	585	548	310
automation	366	14543	296	819	54	198	388	161	853	275	32
automotive	367	21662	776	1040	274	840	208	599	220	951	89
av	368	1066	49	564	25	77	105	128	106	85	6
avg	369	129851	5873	36667	2951	7484	7732	11027	10804	6055	372
avoid	370	25583	4309	159	21	2616	106	120	70	239	102
aw	371	871	41	1	475	142	6	0	4	12	0
await	372	7406	1099	73	1	302	47	71	13	32	15
award	373	412494	7750	1039	199	7978	894	3130	564	524	326
aware	374	17071	3653	117	13	1850	36	23	53	182	45
awareness	375	16294	1436	142	41	2209	96	27	58	101	31
away	376	73022	16039	204	13	2273	83	40	57	370	97
awesome	377	4271	1297	0	0	17	2	2	0	45	0
awful	378	1670	701	2	0	68	1	0	0	14	1
awkward	379	1382	396	0	0	21	0	0	0	10	7
baby	380	23870	5273	138	16	1111	6	5	9	100	45
back	381	282548	47954	2706	182	6903	8943	4549	1118	2765	371
background	382	76438	1843	808	15	1636	427	225	117	189	40
bacon	383	1760	373	3	0	17	7	0	51	0	0
bad	384	77290	12640	14371	723	3142	2360	3423	2555	1888	368
bail	385	8651	1010	11	0	475	0	3	0	10	4
balance	386	65473	4259	6601	406	3198	1689	3177	2273	708	144
ball	387	37927	9566	171	0	170	5	7	19	47	22
ban	388	24060	4654	549	15	1476	139	122	137	232	285
band	389	46286	3659	5870	399	1832	1140	1635	1418	908	150
bank	390	101240	8168	3450	894	3914	4787	3427	1161	1228	1408
banking	391	64950	1330	1922	403	1818	1877	1014	701	874	564
banquet	392	1553	48	4	0	14	0	0	1	3	0
bar	393	35937	4497	84	59	1394	40	45	101	225	78
bare	394	2743	624	6	1	66	3	5	2	15	6
bargain	395	2721	403	2	1	76	6	51	0	14	5
base	396	587679	25343	86647	6029	26516	20930	27761	24873	18059	1692
based	397	1290	13	134	2	28	21	51	20	25	2
bash	398	2292	321	0	0	25	0	0	0	9	2
basic	399	43285	2394	3100	858	2383	607	2082	3281	2621	123
basically	400	5577	1170	21	12	60	8	11	4	85	18
basis	401	43369	2798	1171	215	4974	1335	1122	720	1026	149
basketball	402	7143	1153	20	0	86	8	0	0	3	9
battle	403	24879	4667	53	9	436	69	22	12	127	42
bay	404	9771	7493	34	5	517	9	27	6	33	13
bb	405	1094	59	10	0	69	2	23	77	24	0
be	406	15028433	1576483	1148838	89612	706052	313327	422367	336273	250224	48801
beach	407	24920	4441	11	2	408	6	1	11	19	6
beachfront	408	1135	138	0	0	4	0	0	0	0	0
bear	409	39424	6131	10031	370	1833	1836	2796	2881	425	180
bearer	410	905	83	122	10	28	8	0	44	0	2
beast	411	1948	497	1	0	56	3	0	0	16	0
beat	412	47780	9253	8890	510	1809	1868	2461	2270	970	113
beautiful	413	18384	2896	73	0	468	20	2	5	52	13
because	414	169424	35484	338	67	5340	302	126	369	1165	767
bed	415	18708	3460	221	11	654	54	93	71	961	88
bee	416	3217	683	3	0	152	5	1	1	2	1
before	417	309545	42192	25439	2686	15158	8401	11426	9070	5669	959
begin	418	116170	12600	12869	745	4447	2827	3259	2970	2020	311
beginning	419	35865	2472	5706	517	1760	1421	2386	2211	908	350
behave	420	2564	610	1	3	223	4	7	11	25	32
behind	421	52613	10231	314	23	1981	189	106	78	324	213
being	422	6490	792	50	17	599	69	83	125	133	23
bel	423	1378	16	15	0	965	30	184	8	1	1
believe	424	90561	13961	748	106	4681	620	384	221	565	251
bell	425	3415	452	4	1	73	2	2	1	35	4
belonging	426	785	234	1	0	93	1	0	0	4	8
beloved	427	2835	546	4	1	71	1	6	1	12	4
below	428	171749	5611	22978	1422	6838	6035	8075	5802	3583	331
benchmark	429	245774	6872	34627	4576	10161	8943	57061	12306	8378	487
bend	430	3477	529	1	3	57	15	6	0	17	2
benefit	431	108551	7515	2125	163	9518	1277	1243	1592	1188	272
berry	432	1757	270	7	0	13	38	0	5	3	1
beside	433	2317	805	37	0	63	3	0	0	5	4
bespoke	434	3234	184	11	3	346	4	1	4	11	0
best	435	1012	135	0	0	6	7	0	0	6	0
bet	436	9292	964	831	15	93	29	65	0	50	104
beta	437	311521	6655	50108	4322	9954	11109	15807	12442	9654	885
beyond	438	31735	3268	284	18	1950	159	234	49	256	60
bi	439	1674	146	6	12	114	6	12	5	33	2
bias	440	4494	477	27	3	202	3	2	20	122	9
bicycle	441	3806	334	120	3	230	14	15	56	208	17
bidding	442	2212	146	16	3	124	18	42	8	5	2
big	443	198901	29742	9415	602	4676	1974	2515	2107	1882	953
bike	444	12766	3785	76	2	1057	15	1	8	368	25
bill	445	37119	4831	474	26	2970	33	38	36	273	457
billion	446	4999	467	294	62	247	124	107	141	220	94
bioscience	447	3425	3	368	0	73	13	40	5	4	0
bird	448	10830	3570	31	0	942	33	4	15	164	66
birth	449	8869	1871	175	78	556	169	24	44	92	95
bishop	450	1001	135	3	0	52	0	0	0	0	15
bit	451	58557	13819	89	7	574	33	23	39	417	44
bizarre	452	1623	416	5	0	24	0	0	0	14	3
black	453	40128	16550	350	81	2177	136	44	24	429	102
blackrock	454	1048	0	0	19	19	30	0	0	4	0
blame	455	9633	2174	23	3	255	4	0	1	79	73
blank	456	2503	255	5	23	159	12	2	7	28	4
blast	457	5605	973	20	5	86	5	7	7	35	16
blaze	458	5823	1182	1	0	109	1	3	6	21	1
bloc	459	981	153	3	0	389	8	3	1	4	45
block	460	34974	4632	659	22	1297	292	420	141	419	84
blockbuster	461	1899	211	8	0	23	6	1	0	6	1
bloke	462	4200	608	0	0	2	0	0	0	0	0
blood	463	22518	2871	796	7	1124	263	45	7	417	52
bloody	464	2438	865	5	0	34	0	0	1	14	4
bloom	465	2893	496	35	0	65	0	3	58	11	2
blow	466	13764	3199	30	6	246	6	7	5	69	12
blue	467	26166	5082	59	35	1157	578	40	25	136	38
board	468	165700	10730	13867	996	3584	6580	7320	5217	1867	476
boat	469	23774	5017	207	3	885	23	120	27	47	25
body	470	60997	9181	533	63	4469	259	60	272	651	167
boil	471	2466	805	3	2	20	0	57	4	11	2
bold	472	5144	802	12	0	379	10	0	64	47	2
bomb	473	5557	1042	25	0	184	3	0	3	23	32
bond	474	125982	2718	12556	1781	6100	3850	17011	5532	1287	623
book	475	402613	16670	33840	5103	15896	10004	15747	13961	7572	543
boom	476	9159	951	13	5	86	19	5	14	32	46
booth	477	5337	225	66	2	79	27	7	26	15	0
bor	478	20	0	11	0	0	3	21616	0	0	0
border	479	22030	4239	200	15	4881	94	129	199	184	413
boring	480	1519	406	2	0	20	2	3	64	21	8
borrower	481	4638	462	2	1	123	8	28	2	9	5
borrowing	482	22027	1257	1616	116	916	448	1331	942	634	17
boss	483	12133	2526	17	2	244	3	4	3	28	11
both	484	269971	23592	27500	1752	14962	6672	8787	6329	5216	1025
bottom	485	410172	12196	71471	5281	15331	16187	23721	21360	11380	569
bound	486	1208	170	4	1	64	0	0	13	19	7
bowler	487	5462	1473	4	0	4	0	0	0	0	0
boxing	488	4045	1282	2	0	111	7	1	1	4	1
boy	489	34194	8643	19	1	1126	2	0	31	66	44
boycott	490	1163	261	5	1	48	3	11	1	6	6
br	491	553	7	101	2	2136	81	27	3	6	5
